brandname,pid,pname,product_price,product_volume,category
디올,21264,스노우 유브이 쉴드 비비크림 SPF50 PA+++,"74,000원",40ml,비비크림
디올,26678,스노우 UV 쉴드 BB 크림 SPF 50+ PA+++,"70,000원",30ml,비비크림
디올,38937,프레스티지 화이트 콜렉션 사틴 브라이트닝 UV베이스 블래미쉬 밤 SPF 50 PA+++ ,"148,000원",30ml,비비크림
디올,620,UV 쉴드 BB 크림 화이트 리빌 UV 프로텍션 SPF50 PA+++,"67,000원",30ml,비비크림
디올,34131,디올스킨 누드 BB 크림 SPF25 PA++,"63,000원",30ml,비비크림
땡큐파머,56473,비 뷰티풀 내추럴 비비 크림,"32,000원",40ml,비비크림
떼즈블랑(TEZBLANC),28622,스마트 뷰티 밤,"33,000원",50ml,비비크림
뜨엘,27326,프로페셔널 BB크림,"29,000원",50ml,비비크림
라끄베르,17686,타이트닝 비비,"24,000원",50ml,비비크림
라끄베르,17688,하이드레이팅 비비,"22,000원",50ml,비비크림
라끄베르,17683,일루미네이팅 선비비,"18,000원",50ml,비비크림
라끄베르,17677,엘브이 에센셜 BB,"17,000원",50ml,비비크림
라끄베르,17674,퀸즈 BB,"15,000원",60ml,비비크림
라네즈,12156,스노우 BB 크림 SPF41 PA++,"30,000원",50ml,비비크림
라네즈,76068,비비쿠션 포어 컨트롤 SPF50+ PA+++,"37,000원",15g*2,"비비크림,쿠션타입"
라네즈,76069,비비쿠션 화이트닝 SPF50+ PA+++,"37,000원",15g*2,"비비크림,쿠션타입"
라네즈,80556,비비쿠션 안티에이징 SPF50+ PA+++,"40,000원",15g,"비비크림,쿠션타입"
라네즈,14294,푸시버튼 리미티드 비비쿠션 SPF50+ PA+++,"37,000원",15g *2,"비비크림,쿠션타입"
라네즈,20435,홀리데이 리미티드 BB쿠션 SPF50+ PA+++,"37,000원",15g*2,"비비크림,쿠션타입"
라네즈,12184,비비 쿠션 포어 컨트롤 SPF50+ PA+++,"37,000원",15g *2,"비비크림,쿠션타입"
라네즈,3436,비비쿠션 SPF50+ PA+++,"37,000원",15g*2,"비비크림,쿠션타입"
라네즈,16950,비비쿠션 안티에이징 SPF50+ PA+++,"40,000원",15g*2,"비비크림,쿠션타입"
라네즈,68901,비비쿠션 화이트닝,"37,000원",15g*2,"비비크림,쿠션타입"
라네즈옴므,12197,선 비비 SPF50+ PA+++,"25,000원",50ml,비비크림
라라베시,3582,악마베이스 레오팝,"39,000원",12ml+12ml,"비비크림,파운데이션,메이크업베이스"
라로슈포제,12241,유비데아 XL BB 멀티-프로텍티브 실드 SPF50 PA+++,"31,000원",30ml,비비크림
라로슈포제,2769,유비데아 XL 멜트-인 비비크림 데일리 프로텍션 SPF50 PA+++,"40,000원",30ml,비비크림
라르꼬발레노,28632,EGF 후관리전용 비비크림,"39,000원",25ml,비비크림
라르꼬발레노,93508,써니 페라독스 비비크림,"35,000원",30g,비비크림
라뮤즈(LAMUSE),106515,아쿠아 커버밤 SPF50+ PA+++,"52,500원",50ml,비비크림
라뮤즈(LAMUSE),102910,리턴 투 블레싱 비주얼 밤 SPF36 PA++,"38,000원",15ml,비비크림
라미스떼,28642,듀얼 비비 크림,"35,200원",30ml,비비크림
라벨영,106504,쇼킹 청춘비비크림 SPF50+ PA+++,"25,000원",50ml,비비크림
라비다,48001,바이탈 리커버리 비비 앰플 쿠션,"75,000원",15g*2,"비비크림,쿠션타입"
라비다,18434,바이탈 리커버리 멜라 비비크림 팩트 SPF50+ PA+++,"65,000원",12g,"비비크림,팩트"
라비다,19880,바이탈 리커버리 비비크림팩트 IRF35 SPF50/PA+++,"55,000원",12g,"비비크림,팩트"
라비다,19879,바이탈 리커버리 비비크림 IRF20 SPF37/PA++,"72,000원",45ml,비비크림
라비오뜨,72205,헬시 블라섬 에센셜 비비 쿠션,"26,000원",15g,비비크림
라쌍떼,69281,그레노블비비크림,"58,002원",50ml,비비크림
라클리아,2728,더마 리페어 비비,"35,000원",20ml,비비크림
라펜,19429,닥터 커리엄 케어,"70,000원",50ml,비비크림
라포랩,28670,허브 BB,"39,000원",40ml,비비크림
라프시몬스,73471,멀티 선 비비,"66,000원",50ml,비비크림
랑,15287,레드진 매직 오일 비비크림 SPF35 PA++,"28,000원",40ml,비비크림
랑콤,83696,UV 엑스퍼트 GN 쉴드 비비컴플리트 SPF50 PA+++,"75,000원",50ml,비비크림
랩노(LabNo),86963,4SP 세이프 내추럴 톤 비비쿠션 SPF35PA+++,"28,000원",14g,비비크림
랩노(LabNo),86777,4SP 세이프 내추럴 톤 비비쿠션,"28,000원",14g,"비비크림,쿠션타입"
랩코스(LAPCOS),26566,에그핏 BB SPF37 PA++,"16,000원",50ml,비비크림
러블럽,74553,감쪽커버 BB크림,"20,000원",50ml,비비크림
러블럽,74555,미네랄 UV 비비 팩트 SPF50+ PA++,"16,000원",12g,"비비크림,쿠션타입"
러블럽,74552,생기 빛 BB크림 SPF50+ PA+++ ,"16,000원",150ml,비비크림
레베카본본,26793,알비비크림 SPF27/PA++,"22,000원",30ml,비비크림
레브론(revlon),13797,포토레디 BB크림,"27,000원",30ml,비비크림
레시피 바이 슬로가닉,90706,"허니앤허니 비비 SPF30,PA++","21,000원",80g,비비크림
렙(re:p),25997,뉴트리네이쳐 리커버리 어드밴스드 비비크림,"39,000원",30ml,비비크림
로레알파리,44881,UV 퍼팩트 BB 맥스,"25,000원",30ml,비비크림
