,category,num_of_reviews,product_id
39976,"비비크림,쿠션타입",2.0,103368
39977,"에센스,수딩젤/팩",0.0,106164
39978,"에센스,트러블케어",0.0,104021
39979,에센스,1.0,43788
39980,크림,0.0,102859
39981,여성향수,1.0,59456
39982,크림,4.0,59283
39983,워시오프,4.0,81802
39984,크림,19.0,66437
39985,스크럽/필링,4.0,72381
39986,에센스,4.0,90362
39987,스킨,44.0,27099
39988,에센스,45.0,46937
39989,클렌징밀크,16.0,27096
39990,에센스,5.0,44637
39991,클렌징,0.0,76143
39992,에센스,0.0,76141
39993,페이스오일,0.0,76147
39994,스킨,0.0,76139
39995,크림,0.0,76146
39996,에센스,0.0,76140
39997,에센스,1.0,32187
39998,크림,0.0,76145
39999,에센스,0.0,76142
40000,에센스,0.0,76138
40001,클렌징,0.0,76144
40002,로션,4.0,76137
40003,스킨,39.0,32186
40004,로션,34.0,32185
40005,마스크/팩,1.0,32188
40006,샴푸,1.0,74971
40007,아이케어,0.0,106186
40008,에센스,0.0,106190
40009,에센스,0.0,106189
40010,에센스,0.0,106188
40011,에센스,0.0,106187
40012,아이케어,0.0,106259
40013,에센스,0.0,106179
40014,에센스,0.0,106183
40015,에센스,0.0,106182
40016,에센스,0.0,106181
40017,에센스,0.0,106180
40018,에센스,0.0,106177
40019,크림,0.0,106178
40020,크림,0.0,106184
40021,샴푸,1.0,98375
40022,헤어에센스,1.0,98377
40023,헤어에센스,0.0,98379
40024,샴푸,1.0,100498
40025,바디워시,0.0,106192
40026,트리트먼트/팩,0.0,106191
40027,립스틱,52.0,3083
40028,에센스,0.0,98597
40029,씨씨크림,6.0,2399
40030,클렌징폼,2.0,1711
40031,"에센스,모공케어",1.0,14440
40032,"컨실러,립스틱,하이라이터",3.0,2398
40033,아이라이너-펜슬&젤,11.0,92224
40034,아이브로우-펜슬,0.0,92227
40035,크림,4.0,76572
40036,립밤,2.0,42012
40037,립밤,0.0,42021
40038,립밤,0.0,42015
40039,립밤,0.0,42027
40040,립밤,0.0,42006
40041,마스크시트,0.0,97221
40042,마스크시트,0.0,97237
40043,마스크시트,1.0,63249
40044,마스크시트,3.0,63257
40045,스킨,27.0,82548
40046,마스크시트,2.0,63253
40047,마스크시트,3.0,63265
40048,마스크시트,3.0,61569
40049,마스크시트,6.0,63245
40050,스킨,1.0,92878
40051,메이크업픽서,1.0,98154
40052,아이케어,0.0,96174
40053,클렌징오일,0.0,96519
40054,페이스오일,0.0,96170
40055,베이스프라이머,0.0,96171
40056,"컨실러,하이라이터",0.0,102633
40057,베이비스킨케어,0.0,83602
40058,베이비바디,0.0,83599
40059,베이비스킨케어,1.0,83597
40060,"베이비클렌저/샴푸,베이비바디",1.0,83604
40061,베이비스킨케어,1.0,83594
40062,씨씨크림,0.0,2419
40063,선블록,0.0,34158
40064,화이트닝케어,0.0,88606
40065,로션,0.0,88610
40066,스킨,0.0,88608
40067,클렌징폼,0.0,88604
40068,에센스,0.0,88611
40069,선블록,0.0,88600
40070,스크럽/필링,0.0,88594
40071,링클케어,0.0,88595
40072,크림,0.0,88602
40073,비비크림,0.0,88598
40074,크림,0.0,88597
40075,크림,0.0,105067
40076,에센스,0.0,105068
40077,아이케어,1.0,27286
40078,선블록,0.0,92859
40079,크림,0.0,27284
40080,크림,0.0,27285
40081,에센스,0.0,13612
40082,아이케어,0.0,13608
40083,립밤,0.0,13643
40084,립밤,0.0,13648
40085,"에센스,화이트닝케어",0.0,13623
40086,"에센스,화이트닝케어",0.0,13625
40087,립밤,0.0,13644
40088,"넥케어,핸드케어",0.0,13613
40089,"워시오프,클렌징폼",0.0,13591
40090,"샴푸,바디워시",0.0,13631
40091,"크림,링클케어",0.0,13618
40092,립밤,0.0,13646
40093,"샴푸,바디워시",0.0,13632
40094,바디로션,0.0,13636
40095,로션,0.0,27506
40096,"샴푸,바디워시",0.0,13638
40097,바디로션,0.0,13635
40098,선블록,0.0,13622
40099,립밤,0.0,13645
40100,아이케어,0.0,13609
40101,크림,0.0,13611
40102,"에센스,링클케어",0.0,13619
40103,핸드케어,0.0,13610
40104,"샴푸,바디워시",0.0,13641
40105,"샴푸,바디워시",0.0,13642
40106,클렌징오일,0.0,13590
40107,아이케어,0.0,13615
40108,"에센스,링클케어",0.0,13616
40109,"크림,링클케어",0.0,13617
40110,스킨,0.0,11483
40111,워시오프,0.0,2015
40112,모공케어,0.0,2018
40113,"스킨,모공케어",0.0,2017
40114,크림,0.0,98626
40115,크림,0.0,83528
40116,"스킨,링클케어",0.0,20206
40117,"샴푸,바디워시",0.0,13639
40118,미스트,0.0,47737
40119,비비크림,0.0,13621
